====266

4.2.47 -jɨjŋ (jɨŋ) [iŋ]

	Ping 	Shang	Qu	Ru [-ʔ]
pjɨjŋ	兵幷倂氷	丙炳秉餠屛	柄幷	-
		昺倂		
p`jɨjŋ	-	-	聘	-
bjɨjŋ	平枰評萍甁	竝倂	病	-
	萍屛憑			
mjɨjŋ	明鳴名銘冥	皿酩	命暝瞑	-
	暝螟蓂溟盟			
tjɨjŋ	丁玎釘	頂酊鼎打	釘碇訂錠定	
t`jɨjŋ	廳聽綎汀	-	聽庭	-
djɨjŋ	庭霆亭停廷蜓	挺鋌艇町珽	定	-
njɨjŋ	寧	-	寗寧𪜨	-
ljɨjŋ	令伶齡鈴囹	領嶺	令零凌另	-
	笭零翎玲怜			
	羚靈陵凌菱			
tsjɨjŋ	精菁靑旌晶	井	-	-
	睛蜻			
ts`jɨjŋ	淸靑	請	-	-
dzjɨjŋ	情晴	靜靖穽	淨穽	-
sjɨjŋ	星腥醒惺騂	省醒惺	性姓醒	-
zjɨjŋ	𩛿	-	-	-
tʂjɨjŋ	征正鉦貞楨	整拯	正政證	-
	禎徵蒸烝			
tʂ`jɨjŋ	偵稱檉蟶	逞騁	稱秤偵	-
dʐjɨjŋ	呈懲澄乘承	-	鄭瞪	-
	丞成城誠盛程			
ʂjɨjŋ	聲昇升陞勝	-	勝聖	-
ʐjɨjŋ	繩	-	盛晟乘剩	-
rjɨjŋ	仍芿	-	-	-
kjɨjŋ	京驚荊競矜	景境儆警頸	敬竟鏡璥勁	-
	經涇	耿憬	徑俓	-
k`jɨjŋ	卿輕	-	慶磬	-
ɡjɨjŋ	勍擎鯨	痙	競擎	-
ŋjɨjŋ	凝	-	凝迎硬	-
ʔjɨjŋ	英瑛霙櫻鸚嬰	影	映應膺鷹	-
	鶯罌應膺鷹纓			
xjɨjŋ	馨興	-	興	-
ʏjɨjŋ	行銜珩型刑	杏幸行倖脛	行脛	-
	形邢恒莖姮			
jɨjŋ	盈楹瀛蠅迎嬴	穎潁	孕	-

====268

Words	Tone	SR	PR	CPR	LR	RR	Mo.M
{}
